Serial Number,Song Name,Hebrew Date Folder,Singer,Copied Drive ID
70000,יחיאל גיניגר - עמדי,שבט תשפה,סינגלים חדשים,10zpBrNTyVK2Fhs6Pux-fcAWF8F3l6KtC
70001,יואלי קליין ומנדי וייס - אין קדוש כהשם,שבט תשפה,סינגלים חדשים,1KQu2mJA4Mtaowwtt7jrxK91ACklb1fIZ
70002,זושא - Needed You,שבט תשפה,סינגלים חדשים,1935KQRQcMrZHbgNArMrbb5eRBlWUfn6j
70003,יוסף קרדונר - עיקר גדולתו,שבט תשפה,סינגלים חדשים,13Jb6KxIo27ORLrWlGkNTkUbBAFNioWs8
70004,יהונתן ניצן - פתאום שעה אחת,שבט תשפה,סינגלים חדשים,1aaxO-PRvnSo5dex1u-ATcB10NqrrqfCz
70005,חיים מרדכי עקשטיין  - אילן,שבט תשפה,סינגלים חדשים,1-nGpRZcLlgRXsYtqLLbCi0GtCJT4zcoW
70006,יוסל לייפער ויונתן בלוי - אילן,שבט תשפה,סינגלים חדשים,1Rhfm3Vgdwc3hn5fNewCP21OUtAV81k35
70007,יהוידע שחר - מול כל המלחמות,שבט תשפה,סינגלים חדשים,12GDI6xc4N3SDS86IViO8yyBjIbjl4fCj
70008,וואלווי רוזנברג - אלוקי נשמה,שבט תשפה,סינגלים חדשים,1MfZ_Pe2uBddxNmHO17tgpU2hAV3Ahuuz
70009,יענקי רובין - השם נפשנו בחיים,שבט תשפה,סינגלים חדשים,1no5FuWtw6UBnTv2v9mUif8xeLUeVEoW4
70010,ישראל גברא ודייויד טויב - קם ונופל,שבט תשפה,סינגלים חדשים,1VZslWQSE3EiVyr9lmCcUNlnNMvDkueLq
70011,ישראל סוסנה וישיבת ירוחם - התנערי - שאבעס שיר,שבט תשפה,סינגלים חדשים,1kKCkEAlKgseSa1m8shXLbPeLgOYfyhDF
70012,מאיר אדלר - נפתלי'ס גבאי,שבט תשפה,סינגלים חדשים,1hCcJXp0qwHbrRo-YatxykTZxcpsUrpPn
70013,מקהלת זינגערליך - אחינו כל בית ישראל,שבט תשפה,סינגלים חדשים,1Tp8oh_1Se8eSyQaxU_OiQAyUG46XJUXn
70014,לוי פאלקאוויטש ומיילך קאהן - ניגון מצוה טאנץ קרעטשניף,שבט תשפה,סינגלים חדשים,1yxVR0UmWnBIusjrB3VUaphasI4s6TQxO
70015,מנחם & לוי סגל - תראה,שבט תשפה,סינגלים חדשים,1LG6OieadxLXv98LgKVjav2Cu6VL1z5ov
70016,מאיר ענגעל - אז ישיר,שבט תשפה,סינגלים חדשים,1Ir6FJ-vBdeJYTwGcSOMs72QEpQXkmuPb
70017,משה אייזנברג - שהחיינו,שבט תשפה,סינגלים חדשים,1qxBTw6topVwNP6aKi6YrWT0zN0XPECob
70018,מקהלת קאפלה - הארציג - זינג מיט קאפלה 1,שבט תשפה,סינגלים חדשים,1NPBjbBJjd-c3_7WOLCN6Y1TaBL2ecjTd
70019,נסים סאאל - בריך שמיה,שבט תשפה,סינגלים חדשים,1hT6IKYcgwWXBwODPjZQ9xwfnd-NJSzQL
70020,נעם דוד אהרן - בליבי,שבט תשפה,סינגלים חדשים,1WQwj7b87j3vyjzkAU5LlfA1AdO7H_PAO
70021,נריה גרנות ומקהלת משאלות - אחינו,שבט תשפה,סינגלים חדשים,17xxxbT_q2uo0aBipK-qUP60hnArpjetR
70022,נתנאל ישראל - מה עובר עליי,שבט תשפה,סינגלים חדשים,1-gmsW1eHY_wlOI3VVNjzRKGo4iZSC24o
70023,רפאל מאיר הלפרט - השבת נועם הנשמות,שבט תשפה,סינגלים חדשים,1M3k2rejmJ5XOY_INekVXadENAYP7G2Eo
70024,נתי רובין - פאר אים,שבט תשפה,סינגלים חדשים,1BZ4aVF831PW3fDR-7WBLPRSnEmjj06ln
70025,פסח איידנסון ומוישי ולס - כי לה' המלוכה,שבט תשפה,סינגלים חדשים,15XNndVVZNzJRmwsMv4OGox3ynvF9c2rD
70026,נתנאל אבקסיס - געגועים,שבט תשפה,סינגלים חדשים,1Ig9vDJ9hSDTWSBkvsTkiphdljNHjPKYj
70027,עמרם אקער - רבי'שע מאמענטן - זה היום,שבט תשפה,סינגלים חדשים,1nMMxNk7g8GBLHehgRRFtp0g7xRnjGo3p
70028,עמרם אקער - רבי'שע מאמענטן - ואילו פינו,שבט תשפה,סינגלים חדשים,12j2N-ZJCoTcLVCcTnQYZ0ClOOh0HSuIU
70029,"שוכי גולדשטיין, מאיר אדלר, בנצי שטיין - א שאבעס אין ויז'ניץ",שבט תשפה,סינגלים חדשים,1VkW9ufVSjhb5Ogk_1tHB8zTqCNsp1Czi
70030,שולי רנד - אילו כולנו חכמים,שבט תשפה,סינגלים חדשים,10-P87PDB3dgEH0qUF7QxpkpWKQQwTjNO
70031,שלמה גובי & חברותא - הצדיק היה אומר,שבט תשפה,סינגלים חדשים,1s8kmqLlln-5Oo7D141tEIOAIGsucOAWs
70032,שלוימי מאיר ושוקי סלומון - שיר לארץ הקודש,שבט תשפה,סינגלים חדשים,1Yb6mBkpq4dkhJO6JzGzgGkKOsEijsSPh
70033,שולי רנד - דממה דקה,שבט תשפה,סינגלים חדשים,1hAzS-8p3YH4-Xsrknh97i4R2SfpN1jP7
70034,שולי רנד - עולם הפוך,שבט תשפה,סינגלים חדשים,1WIC_Tr5qS02pqziFx4wmhXcHLNTJ4tqa
70035,שולי רנד - לגלגל את זה הלאה,שבט תשפה,סינגלים חדשים,1jNxvNzC481fY0I6TMqdo8l_YesoX38-d
70036,שולי רנד - המלאך שלי,שבט תשפה,סינגלים חדשים,12H27Rg_EbqIpdNB528lQyOthH2xGXo9x
70037,שולי רנד - שבע השנים הטובות,שבט תשפה,סינגלים חדשים,142GdBS9YVR2Lg7w6Ka3S7WPgCfc3HNHU
70038,שי זוהר - תקווה,שבט תשפה,סינגלים חדשים,1yGbsV8ZVcwNXEkmM6kWkwMobg1qa3tVJ
70039,שולי רנד - נהר המטהר מכל הכתמים,שבט תשפה,סינגלים חדשים,1Zr6BlMO4XoxFDMAWMSRGS_eiNqIfN9dn
70040,שמוליק סוכות - עם יפה,שבט תשפה,סינגלים חדשים,1GMQHoowHlcvBC4jEBPxRshKLcGCHiUSb
70041,שמוליק סוכות - תדבר איתו,שבט תשפה,סינגלים חדשים,1lh-te9N0S4p9kQsQPYkgGvcSRnce4jSO
