70000,אבי דרור מארח את יוסי ברגר - מחרוזת שירי תפילה,חשוון תשפ"ד,סינגלים חדשים - תשפ"ד
70001,אידיש נחת - שבת נחת טועמיה (תקציר אלבום),חשוון תשפ"ד,סינגלים חדשים - תשפ"ד
70002,אבי ריימי ויאיר בודנר - יזכרם (קאבר),חשוון תשפ"ד,סינגלים חדשים - תשפ"ד
70003,בני פרידמן -  מחרוזת חיזוק,חשוון תשפ"ד,סינגלים חדשים - תשפ"ד
70004,להקת זושא - נגב את הדמעות,חשוון תשפ"ד,סינגלים חדשים - תשפ"ד
70005,שמילי אונגר - וקרב פזורינו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70006,שמחה אברמצ'יק - ופרוש עלינו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70007,ישראל סוסנה ומחנה בני תורה - בני תורה אנחנו (שירת המונים),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70008,ישעי' גרוס וארי סאמעט - מחרוזת הקפה בּ׳,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70009,בני פרידמן ושלומי דסקל - בר יוחאי,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70010,שייע ברקו ואלי מרקוס - לחניו של מהר''ם שפירא,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70011,הערשי ויינברגר ונפתלי קמפה - שיח סוד,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70012,אבישי אשל - שבחי,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70013,מיכאל אזולאי - הושענא,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70014,אהר'לע סאמעט - מחרוזת הורה (לייב),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70015,אבי לרנר - עולם הבא איז א גוטע זאך (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70016,פישל כהן - סוכות טאנץ,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70017,אבישי בדין - נפלאות,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70018,אילון הייטנר - והכל טוב,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70019,"חיים ברוין, דוד פדר, זאב ורצברגר - עפיק",תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70020,דיג'יי יוסי מימון וישראלי'ק בש - אתה בחרתנו (רמיקס),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70021,פסח איידנסון - והראנו בבנינו (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70022,שלומי גרטנר ויונתן רזאל - הטוב (לייב),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70023,"אבי ריימי, יאיר בודנר ויניב פינטו - ותשובה ותפילה וצדקה (קאבר - יעקב שוואקי)",תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70024,משה דוד ווייסמנדל וארי היל - מ'גייט מאכן קידוש,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70025,מוטי שטיינמץ ומקהלת נשמה - למען ידעו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70026,קובי ברומר וארי גולדוואג - הושענא,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70027,שמוליק קליין - וטהר ליבנו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70028,שמואל - קה שמע אביונך,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70029,אלי לוין מארח את ר' שלמה קרליבך - אני מאמין,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70030,אברהם פריד - הבן יקיר לי (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70031,גלעד ואפי פוטולסקי - היום הרת עולם,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70032,"ארי היל, יואלי קליין ושייע גרוס - עינינו תלויות",תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70033,יוני Z - ראש השנה Upmix,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70034,לוי פלקוביץ - כל נדרי (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70035,ישי ריבו ומרדכי בן דוד - אתה זוכר,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
70036,עמירן דביר - זיידע שלי,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד
